Title,Title_link,rev_wrap,Field1,Field2,Field2_link,Field3
Great experience honest and sincere staff,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r372454586-Tibits-London_England.html,Date of visit: May 2016,Great food and options too attending with a family of four it as of good value indeed highly reccomemded indeed,Great experience honest and sincere staff,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r372454586-Tibits-London_England.html,Great food and options too attending with a family of four it as of good value indeed highly reccomemded indeed
Good food,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r372401314-Tibits-London_England.html,>  >,"The restaurant is a self service buffet but your food is weighed so be careful of how much you put on your plate.
I would say it's quite expensive for what it is but as a vegan it's nice to have so much choice. 
Be...More",Good food,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r372401314-Tibits-London_England.html,The restaurant is a self service buffet but your food is weighed so be careful of how much you put on your plate.I would say it's quite expensive for what it is but as a vegan it's nice to have so much choice. Be warned if you're sat outside though it is opposite a restaurant that has shisha so if you do not like the smell of that (which we didn't enjoy) I would recommend sitting inside.
Nice Veggie Buffet,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r372302425-Tibits-London_England.html,Date of visit: March 2016,"I must say, you can't find many vegan restaurant around london which serve good food. This restaurant really know how to prepare the food to look nice and taste good. One of the drawbacks is the price, you pay for weight of your plate, so...More",Nice Veggie Buffet,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r372302425-Tibits-London_England.html,"I must say, you can't find many vegan restaurant around london which serve good food. This restaurant really know how to prepare the food to look nice and taste good. One of the drawbacks is the price, you pay for weight of your plate, so for hungry folks the difference in price might be huge. Since is self service place so don't expect any fancy treatment. This is really good place if you want people to pay for their own meal instead of trying to fiddle with a bill."
,,,,,,
Excellent Choice,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r371474208-Tibits-London_England.html,Date of visit: May 2016,Been quite a few times and always a great experience......big choice and all the food I have ever tried tastes lovely......some original dishes with traditional but always plenty to select from. Recommended,Excellent Choice,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r371474208-Tibits-London_England.html,Been quite a few times and always a great experience......big choice and all the food I have ever tried tastes lovely......some original dishes with traditional but always plenty to select from. Recommended
Great vegetarian food,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r370750664-Tibits-London_England.html,Date of visit: July 2015,"This place is a small version of Hiltl in Zurich...and it offers great vegetarian food in a buffet form very similar to Hiltl. 
All the dishes tried were really yummy and fresh. Service was ok, but not overly attentive. One thing that bothered me was...More",Great vegetarian food,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r370750664-Tibits-London_England.html,"This place is a small version of Hiltl in Zurich...and it offers great vegetarian food in a buffet form very similar to Hiltl. All the dishes tried were really yummy and fresh. Service was ok, but not overly attentive. One thing that bothered me was that you need to go to the counter to get your coffee..."
Consitently delicious,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r369767671-Tibits-London_England.html,Date of visit: May 2016,I've lost count of how many times I've visited Tibits. Consistently great food and great for Veggie ideas. Each time I’ve had something slightly different with their signature dishes as a perfect accompaniment. Love the fact that you can try a bit of everything and...More,Consitently delicious,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r369767671-Tibits-London_England.html,I've lost count of how many times I've visited Tibits. Consistently great food and great for Veggie ideas. Each time I’ve had something slightly different with their signature dishes as a perfect accompaniment. Love the fact that you can try a bit of everything and prices are very reasonable. Great environment and vibe particularly for a date or chilled evening with friends. Will be coming back again for sure!
Great vegetarian food in the centre of London,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r369728109-Tibits-London_England.html,Date of visit: September 2015,"Tibits is hidden away in a quiet corner just off Regent Street.  Seating outside as well as in, so lovely for an al fresco meal.  A huge range of superb salads.  You pay by weight, so best to walk around the displays first rather than...More",Great vegetarian food in the centre of London,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r369728109-Tibits-London_England.html,"Tibits is hidden away in a quiet corner just off Regent Street. Seating outside as well as in, so lovely for an al fresco meal. A huge range of superb salads. You pay by weight, so best to walk around the displays first rather than just heaping your plate with everything you see! Try to avoid lunch time, which is busy with local workers. Pleasant atmosphere and surroundings and wonderful food, what more can a vegetarian ask!"
great choice of food!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r369463684-Tibits-London_England.html,Date of visit: May 2016,"Food is really good and not too expensive to be in central London. Several gluten free options, including bread, and the place is really nice and cosy.",great choice of food!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r369463684-Tibits-London_England.html,"Food is really good and not too expensive to be in central London. Several gluten free options, including bread, and the place is really nice and cosy."
The place to go for good value vegetarian food in central London,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r368972030-Tibits-London_England.html,Date of visit: April 2016,"Tibits always has a great selection of vegetarian food, and is also very good value considering that it is in the centre of London. The food is so tasty and fresh, and there is so much choice and the food is always slightly different each...More",The place to go for good value vegetarian food in central London,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r368972030-Tibits-London_England.html,"Tibits always has a great selection of vegetarian food, and is also very good value considering that it is in the centre of London. The food is so tasty and fresh, and there is so much choice and the food is always slightly different each time you go. Definitely recommend :) Love the falafel."
