Title,rev_wrap,Field2
Wonderful food!,Date of visit: January 2019,"A great spot to eat! Mostly vegetarian, but even for a non-vegetarian it was wonderful! Everyone in our party enjoyed it."
Fantastic,Date of visit: January 2019,Came here on a Saturday night around 4ish and it was rammed! No where really to wait without getting in the way. However the food was definitely worth all the waiting. It was delicious! Will definitely be coming back!
Amazing chicken....,Date of visit: January 2019,"My partner and I decided to see what the hype was about with Mildreds, we were not disappointed. I had the mock chicken which was very good, I honestly couldn't tell that it wasn't chicken. A very nice smoothie to go alongside my meal. The burger that my partner had was also very good. I would recommend this place to anyone, we'll be back!!"
Veganuary treat,Date of visit: January 2019,Nice atmosphere! Good menu - choice but not so much that you have to wait forever! I enjoyed the Mexican black Bean burger which was tasty - it’s all about the dip with the chips .You know that you can’t book but either get there early or enjoy a nice drink at the bar!
,,
quick lunch fresh salads,Date of visit: January 2019,"healthy, vegetarian, vegan and buzzy spot for a quick lunch, salad bar is cool, fresh tasty, burgers are not the best!"
Dinner,Date of visit: January 2019,"We know the restaurant does not take booking and we would have to wait. All in all we waited for about 50 minutes or so on Friday evening. Had a glass of wine while waiting, organic wine but honestly we weren't very impressed and it's a pit pricey £7 for a glass! We had halumi burger and Mexican black bean burger which was good. My husband ordered normal fries and I ordered sweet potato fries. Eventually we both got sweet potato fries, not a big deal but you want to get what you ordered. Even though I likes my halumi burger I found it a bit too oily and too salty. I understand they need to make vegetarian food tasty and that's probably the only way. I don't think we will be returning as there are quite a lot of vegetarian restaurants in Soho and other areas and we like trying different food. However, I am happy we went as it was not a bad experience. Trendy place."
We love you - amazing evening,>  >  >,"Great service, amazing food, a wine list full of organic wines, pretty good cocktails and nice atmosphere overall. My partner had a delicious bean burger and I had tofu and bean sausage with mash and gravy (with fennel, cabbage, onion). For starters we had artichokes and gyoza...everything was SO delicious. Recommend, even to meat eaters, you will not be disappointed. We will go back!"
Lunch,Date of visit: January 2019,"Me and my girlfriend had a lunch here which could be passed for a dinner, there was so much food . We had a starter, a main and dessert and all the way through the meal, the food was delicious and the price was very good for the quality of the food. Lovely staff too."
Vegan burger,Date of visit: January 2019,"This is a very cute vegetarian cafe in London, the food is good, the vegan burger is very popular, but too oily not the best!"
A veggies delight!!!,Date of visit: October 2018,
Team drinks & dinner,>  >  >,
Fantastic food & ambience,Date of visit: January 2019,
"Great food, fabulous ""meeter and greeter"".",Date of visit: January 2019,"We waited for 30 minutes as the place was full and bookings are not permitted, which I actually think is a great idea. As a vegan I was excited about trying this restaurant, and we were not disappointed. Our meal was fantastic and the service good .. coolly delivered, but good. My favourite person by far was the owner (?) who met us when we came in and then seated us after our wait. Very professional and very likeable .. He was glorious! Highly recommended restaurant, cannot wait to go back.Note to self next time - Remember to not be surprised that a tip is already included in the bill at the end."
